gwp_NUCLEAR,gwp_PV,gwp_WIND_ONSHORE,gwp_WIND_OFFSHORE,gwp_HYDRO_RIVER,gwp_GEOTHERMAL,gwp_IND_COGEN_WOOD,gwp_IND_COGEN_WASTE,gwp_IND_BOILER_WOOD,gwp_IND_BOILER_WASTE,gwp_IND_DIRECT_ELEC,gwp_DHN_HP_ELEC,gwp_DHN_COGEN_WOOD,gwp_DHN_COGEN_WASTE,gwp_DHN_COGEN_WET_BIOMASS,gwp_DHN_COGEN_BIO_HYDROLYSIS,gwp_DHN_BOILER_WOOD,gwp_DHN_DEEP_GEO,gwp_DHN_SOLAR,gwp_DEC_HP_ELEC,gwp_DEC_BOILER_WOOD,gwp_DEC_SOLAR,gwp_DEC_DIRECT_ELEC,gwp_op
               618.049147,              1687.204566,               574.830409,               602.699753,              1237.720065,             24462.972694,               184.382204,               614.343633,                31.568545,                26.333038,                 1.514632,               206.416812,               140.493668,               662.764065,              1157.296875,               769.410770,                26.282290,               742.147379,               191.596854,               144.335612,                21.328975,               178.285038,                 1.392153,              5526.773057
               759.625147,              2103.490566,               699.400409,               727.269753,              1490.284065,             29448.792694,               151.316204,               743.907633,                25.794545,                32.107038,                 1.220632,               171.458812,               173.559668,               533.200065,               952.496875,               639.850770,                32.056290,               903.899379,               235.840854,               177.313612,                17.110975,               222.529038,                 1.686153,              5526.773057
               830.413147,              1895.347566,               637.115409,               540.414753,              1364.002065,             21970.062694,               134.783204,               549.561633,                34.455545,                29.220038,                 1.661632,               153.979812,               157.026668,               597.982065,              1054.896875,               575.070770,                29.169290,               661.271379,               257.962854,               160.824612,                19.219975,               200.407038,                 1.539153,              5526.773057
               688.837147,              2311.633566,               512.545409,               664.984753,              1111.438065,             26955.882694,               167.849204,               679.125633,                28.681545,                23.446038,                 1.367632,               188.937812,               190.092668,               727.546065,               850.096875,               704.630770,                23.395290,               823.023379,               213.718854,               193.802612,                23.437975,               244.651038,                 1.245153,              5526.773057
               653.443147,              1999.419066,               730.542909,               571.557253,              1300.861065,             25709.427694,               192.648704,               776.298633,                30.125045,                30.663538,                 1.735132,               162.719312,               148.760168,               759.937065,              1003.696875,               737.020770,                33.499790,               701.709379,               202.657854,               185.558112,                20.274475,               233.590038,                 1.759653,              5526.773057
               795.019147,              2415.705066,               605.972909,               696.127253,              1048.297065,             20723.607694,               159.582704,               646.734633,                24.351045,                24.889538,                 1.441132,               197.677312,               181.826168,               630.373065,              1208.496875,               607.460770,                27.725790,               863.461379,               246.901854,               152.580112,                24.492475,               189.346038,                 1.465653,              5526.773057
               724.231147,              1791.276066,               543.687909,               509.272253,              1174.579065,             28202.337694,               143.049704,               711.516633,                33.012045,                27.776538,                 1.588132,               180.198312,               165.293168,               565.591065,               901.296875,               542.680770,                24.838790,               782.585379,               224.779854,               169.069112,                22.383475,               255.712038,                 1.318653,              5526.773057
               582.655147,              2207.562066,               668.257909,               633.842253,              1427.143065,             23216.517694,               176.115704,               581.952633,                27.238045,                33.550538,                 1.294132,               145.240312,               198.359168,               695.155065,              1106.096875,               672.240770,                30.612790,               944.337379,               180.535854,               136.091112,                18.165475,               211.468038,                 1.612653,              5526.773057
               578.230897,              2012.428004,               586.508847,               536.521941,              1071.974940,             27111.689569,               137.883141,               739.858758,                32.831608,                25.430851,                 1.468695,               200.954625,               135.327106,               577.737690,               907.696875,               651.997020,                31.154103,               898.844629,               228.927729,               192.772050,                23.569787,               190.728663,                 1.474840,              5526.773057
               719.806897,              2428.714004,               711.078847,               661.091941,              1324.538940,             22125.869569,               170.949141,               610.294758,                27.057608,                31.204851,                 1.762695,               165.996625,               168.393106,               707.301690,              1112.496875,               522.437020,                25.380103,               737.092629,               184.683729,               159.794050,                19.351787,               234.972663,                 1.180840,              5526.773057
               790.594897,              1804.285004,               648.793847,               598.806941,              1450.820940,             29604.599569,               187.482141,               675.076758,                29.944608,                34.091851,                 1.321695,               148.517625,               151.860106,               772.083690,              1010.096875,               587.217020,                28.267103,               817.968629,               206.805729,               176.283050,                17.242787,               212.850663,                 1.327840,              5526.773057
               649.018897,              2220.571004,               524.223847,               723.376941,              1198.256940,             24618.779569,               154.416141,               545.512758,                24.170608,                28.317851,                 1.615695,               183.475625,               184.926106,               642.519690,              1214.896875,               716.777020,                34.041103,               656.216629,               251.049729,               143.305050,                21.460787,               257.094663,                 1.621840,              5526.773057
               684.412897,              1700.213504,               742.221347,               505.379441,              1513.961940,             23372.324569,               146.149641,               642.685758,                34.275108,                32.648351,                 1.248195,               174.736125,               143.593606,               610.128690,              1061.296875,               684.387020,                23.936603,               858.406629,               262.110729,               135.060550,                18.297287,               223.911663,                 1.254340,              5526.773057
               825.988897,              2116.499504,               617.651347,               629.949441,              1261.397940,             28358.144569,               179.215641,               772.249758,                28.501108,                26.874351,                 1.542195,               209.694125,               176.659606,               739.692690,               856.496875,               554.827020,                29.710603,               696.654629,               217.866729,               168.038550,                22.515287,               179.667663,                 1.548340,              5526.773057
               755.200897,              1908.356504,               555.366347,               567.664441,              1135.115940,             20879.414569,               195.748641,               577.903758,                31.388108,                23.987351,                 1.395195,               192.215125,               160.126606,               674.910690,              1163.696875,               619.607020,                32.597603,               939.282629,               195.744729,               151.549550,                24.624287,               246.033663,                 1.695340,              5526.773057
               613.624897,              2324.642504,               679.936347,               692.234441,              1387.679940,             25865.234569,               162.682641,               707.467758,                25.614108,                29.761351,                 1.689195,               157.257125,               193.192606,               545.346690,               958.896875,               749.167020,                26.823603,               777.530629,               239.988729,               184.527550,                20.406287,               201.789663,                 1.401340,              5526.773057
               631.321897,              1856.320754,               508.652597,               645.520691,              1292.968440,             25242.007069,               133.749891,               561.708258,                33.553358,                24.709101,                 1.652445,               144.147875,               172.526356,               658.715190,               830.896875,               571.022020,                28.988853,               919.063629,               223.397229,               147.427300,                18.824537,               218.381163,                 1.511590,              5526.773057
               772.897897,              2272.606754,               633.222597,               520.950691,              1040.404440,             20256.187069,               166.815891,               691.272258,                27.779358,                30.483101,                 1.358445,               179.105875,               139.460356,               529.151190,              1035.696875,               700.582020,                23.214853,               757.311629,               179.153229,               180.405300,                23.042537,               262.625163,                 1.217590,              5526.773057
               843.685897,              2064.463754,               695.507597,               707.805691,              1166.686440,             27734.917069,               183.348891,               626.490258,                30.666358,                33.370101,                 1.505445,               196.584875,               189.059356,               593.933190,               933.296875,               765.362020,                26.101853,               838.187629,               201.275229,               163.916300,                25.151537,               196.259163,                 1.364590,              5526.773057
               702.109897,              2480.749754,               570.937597,               583.235691,              1419.250440,             22749.097069,               150.282891,               756.054258,                24.892358,                27.596101,                 1.211445,               161.626875,               155.993356,               723.497190,              1138.096875,               635.802020,                31.875853,               676.435629,               245.519229,               196.894300,                20.933537,               240.503163,                 1.658590,              5526.773057
               666.715897,              1960.392254,               664.365097,               676.663191,              1229.827440,             23995.552069,               142.016391,               658.881258,                32.109858,                31.926601,                 1.578945,               187.845375,               180.792856,               755.888190,              1086.896875,               538.632020,                24.658353,               878.625629,               256.580229,               188.649800,                24.097037,               251.564163,                 1.291090,              5526.773057
               808.291897,              2376.678254,               539.795097,               552.093191,              1482.391440,             28981.372069,               175.082391,               529.317258,                26.335858,                26.152601,                 1.284945,               152.887375,               147.726856,               626.324190,               882.096875,               668.192020,                30.432353,               716.873629,               212.336229,               155.671800,                19.879037,               207.320163,                 1.585090,              5526.773057
               737.503897,              1752.249254,               602.080097,               738.948191,              1356.109440,             21502.642069,               191.615391,               723.663258,                29.222858,                23.265601,                 1.725945,               170.366375,               197.325856,               561.542190,              1189.296875,               732.972020,                33.319353,               959.501629,               190.214229,               172.160800,                17.770037,               229.442163,                 1.732090,              5526.773057
