gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,cost
                 0.355599,                 0.468099,                 0.105403,                 0.275148,                 0.362624,                 0.338802,                 0.372737,                 0.080825,                 0.450972,                 0.344625,                 0.262862,                 0.338442,                 0.182277,                 0.130568,                 0.312673,                 0.445229,                 0.417867,                 0.175136,                 0.448592,                 0.382845,                 0.218831,                 0.263417,                 0.379543,                 0.461360,                 0.332265,             49304.526125
                 0.455599,                 0.168099,                 0.205403,                 0.175148,                 0.462624,                 0.238802,                 0.272737,                 0.380825,                 0.150972,                 0.444625,                 0.362862,                 0.438442,                 0.282277,                 0.230568,                 0.212673,                 0.345229,                 0.317867,                 0.275136,                 0.348592,                 0.082845,                 0.118831,                 0.363417,                 0.279543,                 0.161360,                 0.232265,             49304.526125
                 0.255599,                 0.368099,                 0.405403,                 0.375148,                 0.262624,                 0.438802,                 0.072737,                 0.180825,                 0.350972,                 0.244625,                 0.162862,                 0.238442,                 0.082277,                 0.430568,                 0.412673,                 0.145229,                 0.117867,                 0.075136,                 0.148592,                 0.282845,                 0.318831,                 0.163417,                 0.079543,                 0.361360,                 0.432265,             49304.526125
                 0.205599,                 0.118099,                 0.155403,                 0.125148,                 0.412624,                 0.388802,                 0.222737,                 0.130825,                 0.200972,                 0.394625,                 0.312862,                 0.288442,                 0.432277,                 0.380568,                 0.362673,                 0.195229,                 0.467867,                 0.325136,                 0.098592,                 0.332845,                 0.168831,                 0.213417,                 0.429543,                 0.311360,                 0.082265,             49304.526125
                 0.405599,                 0.318099,                 0.355403,                 0.325148,                 0.212624,                 0.188802,                 0.422737,                 0.330825,                 0.400972,                 0.194625,                 0.112862,                 0.088442,                 0.232277,                 0.180568,                 0.162673,                 0.395229,                 0.267867,                 0.125136,                 0.298592,                 0.132845,                 0.368831,                 0.413417,                 0.229543,                 0.111360,                 0.282265,             49304.526125
                 0.305599,                 0.218099,                 0.455403,                 0.225148,                 0.112624,                 0.288802,                 0.322737,                 0.230825,                 0.100972,                 0.094625,                 0.412862,                 0.188442,                 0.332277,                 0.080568,                 0.462673,                 0.295229,                 0.167867,                 0.425136,                 0.398592,                 0.432845,                 0.468831,                 0.113417,                 0.129543,                 0.411360,                 0.182265,             49304.526125
                 0.105599,                 0.418099,                 0.255403,                 0.425148,                 0.312624,                 0.088802,                 0.122737,                 0.430825,                 0.300972,                 0.294625,                 0.212862,                 0.388442,                 0.132277,                 0.280568,                 0.262673,                 0.095229,                 0.367867,                 0.225136,                 0.198592,                 0.232845,                 0.268831,                 0.313417,                 0.329543,                 0.211360,                 0.382265,             49304.526125
                 0.118099,                 0.205599,                 0.117903,                 0.412648,                 0.425124,                 0.176302,                 0.410237,                 0.343325,                 0.288472,                 0.207125,                 0.125362,                 0.125942,                 0.294777,                 0.168068,                 0.425173,                 0.182729,                 0.255367,                 0.212636,                 0.161092,                 0.420345,                 0.256331,                 0.200917,                 0.192043,                 0.173860,                 0.169765,             49304.526125
                 0.318099,                 0.405599,                 0.317903,                 0.212648,                 0.225124,                 0.376302,                 0.210237,                 0.143325,                 0.088472,                 0.407125,                 0.325362,                 0.325942,                 0.094777,                 0.368068,                 0.225173,                 0.382729,                 0.455367,                 0.412636,                 0.361092,                 0.220345,                 0.456331,                 0.400917,                 0.392043,                 0.373860,                 0.369765,             49304.526125
                 0.418099,                 0.105599,                 0.417903,                 0.312648,                 0.125124,                 0.076302,                 0.110237,                 0.443325,                 0.388472,                 0.307125,                 0.225362,                 0.425942,                 0.394777,                 0.468068,                 0.325173,                 0.282729,                 0.355367,                 0.112636,                 0.461092,                 0.320345,                 0.356331,                 0.100917,                 0.292043,                 0.073860,                 0.269765,             49304.526125
                 0.218099,                 0.305599,                 0.217903,                 0.112648,                 0.325124,                 0.276302,                 0.310237,                 0.243325,                 0.188472,                 0.107125,                 0.425362,                 0.225942,                 0.194777,                 0.268068,                 0.125173,                 0.082729,                 0.155367,                 0.312636,                 0.261092,                 0.120345,                 0.156331,                 0.300917,                 0.092043,                 0.273860,                 0.469765,             49304.526125
                 0.268099,                 0.155599,                 0.367903,                 0.462648,                 0.075124,                 0.326302,                 0.460237,                 0.093325,                 0.338472,                 0.357125,                 0.175362,                 0.275942,                 0.344777,                 0.218068,                 0.175173,                 0.232729,                 0.405367,                 0.162636,                 0.211092,                 0.070345,                 0.306331,                 0.450917,                 0.442043,                 0.323860,                 0.119765,             49304.526125
                 0.468099,                 0.355599,                 0.167903,                 0.262648,                 0.275124,                 0.126302,                 0.260237,                 0.293325,                 0.138472,                 0.157125,                 0.375362,                 0.075942,                 0.144777,                 0.418068,                 0.375173,                 0.432729,                 0.205367,                 0.362636,                 0.411092,                 0.270345,                 0.106331,                 0.250917,                 0.242043,                 0.123860,                 0.319765,             49304.526125
                 0.368099,                 0.255599,                 0.267903,                 0.362648,                 0.375124,                 0.426302,                 0.160237,                 0.193325,                 0.438472,                 0.257125,                 0.075362,                 0.175942,                 0.444777,                 0.318068,                 0.075173,                 0.332729,                 0.105367,                 0.262636,                 0.311092,                 0.170345,                 0.206331,                 0.350917,                 0.142043,                 0.423860,                 0.219765,             49304.526125
                 0.168099,                 0.455599,                 0.467903,                 0.162648,                 0.175124,                 0.226302,                 0.360237,                 0.393325,                 0.238472,                 0.457125,                 0.275362,                 0.375942,                 0.244777,                 0.118068,                 0.275173,                 0.132729,                 0.305367,                 0.462636,                 0.111092,                 0.370345,                 0.406331,                 0.150917,                 0.342043,                 0.223860,                 0.419765,             49304.526125
                 0.143099,                 0.080599,                 0.192903,                 0.237648,                 0.250124,                 0.251302,                 0.385237,                 0.218325,                 0.363472,                 0.182125,                 0.300362,                 0.450942,                 0.119777,                 0.293068,                 0.400173,                 0.457729,                 0.180367,                 0.187636,                 0.136092,                 0.145345,                 0.281331,                 0.075917,                 0.217043,                 0.098860,                 0.194765,             49304.526125
                 0.343099,                 0.280599,                 0.392903,                 0.437648,                 0.450124,                 0.451302,                 0.185237,                 0.418325,                 0.163472,                 0.382125,                 0.100362,                 0.250942,                 0.319777,                 0.093068,                 0.200173,                 0.257729,                 0.380367,                 0.387636,                 0.336092,                 0.345345,                 0.081331,                 0.275917,                 0.417043,                 0.298860,                 0.394765,             49304.526125
                 0.443099,                 0.180599,                 0.292903,                 0.137648,                 0.350124,                 0.151302,                 0.085237,                 0.118325,                 0.463472,                 0.282125,                 0.400362,                 0.150942,                 0.219777,                 0.193068,                 0.300173,                 0.157729,                 0.280367,                 0.087636,                 0.436092,                 0.245345,                 0.181331,                 0.175917,                 0.317043,                 0.198860,                 0.094765,             49304.526125
                 0.243099,                 0.380599,                 0.092903,                 0.337648,                 0.150124,                 0.351302,                 0.285237,                 0.318325,                 0.263472,                 0.082125,                 0.200362,                 0.350942,                 0.419777,                 0.393068,                 0.100173,                 0.357729,                 0.080367,                 0.287636,                 0.236092,                 0.445345,                 0.381331,                 0.375917,                 0.117043,                 0.398860,                 0.294765,             49304.526125
                 0.193099,                 0.230599,                 0.442903,                 0.187648,                 0.300124,                 0.301302,                 0.435237,                 0.468325,                 0.313472,                 0.332125,                 0.450362,                 0.200942,                 0.169777,                 0.443068,                 0.250173,                 0.407729,                 0.430367,                 0.137636,                 0.186092,                 0.395345,                 0.231331,                 0.325917,                 0.467043,                 0.448860,                 0.244765,             49304.526125
                 0.393099,                 0.430599,                 0.242903,                 0.387648,                 0.100124,                 0.101302,                 0.235237,                 0.268325,                 0.113472,                 0.132125,                 0.250362,                 0.400942,                 0.369777,                 0.243068,                 0.450173,                 0.207729,                 0.230367,                 0.337636,                 0.386092,                 0.195345,                 0.431331,                 0.125917,                 0.267043,                 0.248860,                 0.444765,             49304.526125
                 0.293099,                 0.130599,                 0.142903,                 0.087648,                 0.200124,                 0.401302,                 0.135237,                 0.368325,                 0.413472,                 0.232125,                 0.350362,                 0.300942,                 0.269777,                 0.143068,                 0.150173,                 0.107729,                 0.130367,                 0.237636,                 0.286092,                 0.295345,                 0.331331,                 0.425917,                 0.167043,                 0.348860,                 0.144765,             49304.526125
                 0.093099,                 0.330599,                 0.342903,                 0.287648,                 0.400124,                 0.201302,                 0.335237,                 0.168325,                 0.213472,                 0.432125,                 0.150362,                 0.100942,                 0.469777,                 0.343068,                 0.350173,                 0.307729,                 0.330367,                 0.437636,                 0.086092,                 0.095345,                 0.131331,                 0.225917,                 0.367043,                 0.148860,                 0.344765,             49304.526125
                 0.086849,                 0.236849,                 0.211653,                 0.131398,                 0.118874,                 0.357552,                 0.103987,                 0.412075,                 0.407222,                 0.150875,                 0.269112,                 0.419692,                 0.088527,                 0.161818,                 0.156423,                 0.276479,                 0.349117,                 0.381386,                 0.304842,                 0.439095,                 0.387581,                 0.132167,                 0.273293,                 0.242610,                 0.413515,             49304.526125
                 0.286849,                 0.436849,                 0.411653,                 0.331398,                 0.318874,                 0.157552,                 0.303987,                 0.212075,                 0.207222,                 0.350875,                 0.469112,                 0.219692,                 0.288527,                 0.361818,                 0.356423,                 0.076479,                 0.149117,                 0.181386,                 0.104842,                 0.239095,                 0.187581,                 0.332167,                 0.073293,                 0.442610,                 0.213515,             49304.526125
                 0.386849,                 0.136849,                 0.311653,                 0.231398,                 0.418874,                 0.457552,                 0.403987,                 0.312075,                 0.307222,                 0.450875,                 0.169112,                 0.119692,                 0.188527,                 0.461818,                 0.256423,                 0.176479,                 0.249117,                 0.281386,                 0.204842,                 0.339095,                 0.087581,                 0.232167,                 0.173293,                 0.142610,                 0.313515,             49304.526125
                 0.186849,                 0.336849,                 0.111653,                 0.431398,                 0.218874,                 0.257552,                 0.203987,                 0.112075,                 0.107222,                 0.250875,                 0.369112,                 0.319692,                 0.388527,                 0.261818,                 0.456423,                 0.376479,                 0.449117,                 0.081386,                 0.404842,                 0.139095,                 0.287581,                 0.432167,                 0.373293,                 0.342610,                 0.113515,             49304.526125
                 0.236849,                 0.086849,                 0.461653,                 0.081398,                 0.468874,                 0.207552,                 0.153987,                 0.262075,                 0.457222,                 0.400875,                 0.119112,                 0.269692,                 0.138527,                 0.211818,                 0.306423,                 0.326479,                 0.099117,                 0.331386,                 0.454842,                 0.089095,                 0.137581,                 0.282167,                 0.123293,                 0.292610,                 0.463515,             49304.526125
                 0.436849,                 0.286849,                 0.261653,                 0.281398,                 0.268874,                 0.407552,                 0.353987,                 0.462075,                 0.257222,                 0.200875,                 0.319112,                 0.469692,                 0.338527,                 0.411818,                 0.106423,                 0.126479,                 0.299117,                 0.131386,                 0.254842,                 0.289095,                 0.337581,                 0.082167,                 0.323293,                 0.092610,                 0.263515,             49304.526125
                 0.336849,                 0.186849,                 0.161653,                 0.181398,                 0.168874,                 0.107552,                 0.453987,                 0.162075,                 0.357222,                 0.100875,                 0.219112,                 0.369692,                 0.238527,                 0.311818,                 0.406423,                 0.226479,                 0.399117,                 0.431386,                 0.154842,                 0.189095,                 0.437581,                 0.382167,                 0.423293,                 0.392610,                 0.363515,             49304.526125
                 0.136849,                 0.386849,                 0.361653,                 0.381398,                 0.368874,                 0.307552,                 0.253987,                 0.362075,                 0.157222,                 0.300875,                 0.419112,                 0.169692,                 0.438527,                 0.111818,                 0.206423,                 0.426479,                 0.199117,                 0.231386,                 0.354842,                 0.389095,                 0.237581,                 0.182167,                 0.223293,                 0.192610,                 0.163515,             49304.526125
                 0.161849,                 0.161849,                 0.086653,                 0.306398,                 0.293874,                 0.282552,                 0.078987,                 0.137075,                 0.432222,                 0.125875,                 0.394112,                 0.094692,                 0.313527,                 0.286818,                 0.081423,                 0.151479,                 0.274117,                 0.406386,                 0.279842,                 0.164095,                 0.162581,                 0.257167,                 0.298293,                 0.167610,                 0.338515,             49304.526125
                 0.361849,                 0.361849,                 0.286653,                 0.106398,                 0.093874,                 0.082552,                 0.278987,                 0.337075,                 0.232222,                 0.325875,                 0.194112,                 0.294692,                 0.113527,                 0.086818,                 0.281423,                 0.351479,                 0.074117,                 0.206386,                 0.079842,                 0.364095,                 0.362581,                 0.457167,                 0.098293,                 0.367610,                 0.138515,             49304.526125
                 0.461849,                 0.261849,                 0.386653,                 0.406398,                 0.193874,                 0.382552,                 0.378987,                 0.237075,                 0.332222,                 0.425875,                 0.294112,                 0.394692,                 0.413527,                 0.186818,                 0.181423,                 0.451479,                 0.174117,                 0.306386,                 0.179842,                 0.264095,                 0.462581,                 0.157167,                 0.198293,                 0.267610,                 0.438515,             49304.526125
                 0.261849,                 0.461849,                 0.186653,                 0.206398,                 0.393874,                 0.182552,                 0.178987,                 0.437075,                 0.132222,                 0.225875,                 0.094112,                 0.194692,                 0.213527,                 0.386818,                 0.381423,                 0.251479,                 0.374117,                 0.106386,                 0.379842,                 0.464095,                 0.262581,                 0.357167,                 0.398293,                 0.467610,                 0.238515,             49304.526125
                 0.211849,                 0.211849,                 0.336653,                 0.356398,                 0.243874,                 0.232552,                 0.128987,                 0.287075,                 0.382222,                 0.375875,                 0.344112,                 0.344692,                 0.363527,                 0.436818,                 0.331423,                 0.101479,                 0.124117,                 0.356386,                 0.429842,                 0.414095,                 0.412581,                 0.407167,                 0.148293,                 0.417610,                 0.288515,             49304.526125
                 0.411849,                 0.411849,                 0.136653,                 0.156398,                 0.443874,                 0.432552,                 0.328987,                 0.087075,                 0.182222,                 0.175875,                 0.144112,                 0.144692,                 0.163527,                 0.236818,                 0.131423,                 0.301479,                 0.324117,                 0.156386,                 0.229842,                 0.214095,                 0.212581,                 0.207167,                 0.348293,                 0.217610,                 0.088515,             49304.526125
                 0.311849,                 0.111849,                 0.236653,                 0.456398,                 0.343874,                 0.132552,                 0.428987,                 0.387075,                 0.282222,                 0.075875,                 0.444112,                 0.244692,                 0.463527,                 0.136818,                 0.431423,                 0.401479,                 0.424117,                 0.456386,                 0.129842,                 0.314095,                 0.112581,                 0.307167,                 0.448293,                 0.317610,                 0.388515,             49304.526125
                 0.111849,                 0.311849,                 0.436653,                 0.256398,                 0.143874,                 0.332552,                 0.228987,                 0.187075,                 0.082222,                 0.275875,                 0.244112,                 0.444692,                 0.263527,                 0.336818,                 0.231423,                 0.201479,                 0.224117,                 0.256386,                 0.329842,                 0.114095,                 0.312581,                 0.107167,                 0.248293,                 0.117610,                 0.188515,             49304.526125
                 0.099349,                 0.099349,                 0.274153,                 0.193898,                 0.206374,                 0.420052,                 0.316487,                 0.074575,                 0.119722,                 0.213375,                 0.106612,                 0.082192,                 0.401027,                 0.099318,                 0.468923,                 0.088979,                 0.336617,                 0.193886,                 0.392342,                 0.301595,                 0.300081,                 0.419667,                 0.310793,                 0.080110,                 0.351015,             49304.526125
                 0.299349,                 0.299349,                 0.074153,                 0.393898,                 0.406374,                 0.220052,                 0.116487,                 0.274575,                 0.319722,                 0.413375,                 0.306612,                 0.282192,                 0.201027,                 0.299318,                 0.268923,                 0.288979,                 0.136617,                 0.393886,                 0.192342,                 0.101595,                 0.100081,                 0.219667,                 0.110793,                 0.280110,                 0.151015,             49304.526125
                 0.399349,                 0.199349,                 0.174153,                 0.093898,                 0.306374,                 0.320052,                 0.216487,                 0.174575,                 0.219722,                 0.313375,                 0.206612,                 0.382192,                 0.301027,                 0.399318,                 0.368923,                 0.388979,                 0.236617,                 0.093886,                 0.092342,                 0.401595,                 0.200081,                 0.319667,                 0.210793,                 0.180110,                 0.451015,             49304.526125
